TN,Un Number,PSN,Class,SubClass,PG,Spec Prov,Packing Para,
,,"Accellerene, see p-NITROSODIMETHYLANILINE",,,,,,
,,"Accumulators, electric, see BATTERIES, WET,
FILLED WITH ACID, BATTERIES, WET, FILLED WITH ALKALI, BATTERIES, WET, NON-SPILLABLE",,,,,,
,,"Accumulators, pressurized, hydraulic  (containing nonflammable gas), see ARTICLES, PRESSURIZED,
HYDRAULIC",,,,,,
,,"Accumulators, pressurized, pneumatic, see ARTICLES,
PRESSURIZED, PNEUMATIC",,,,,,
,UN1088,ACETAL,3,,II,P5,A7.2.,
,UN1089,ACETALDEHYDE,3,,I,"P3,",A7.2.,
,UN1841,ACETALDEHYDE AMMONIA,9,,III,P5,A13.14.,
,UN2332,ACETALDEHYDE OXIME,3,,III,P5,A7.2.,
,UN2789,"ACETIC ACID, GLACIAL or ACETIC ACID
SOLUTION, with more than 80% acid, by mass",8,3,II,"P5, A3, A7,
A10",A12.2.,
,UN2790,"ACETIC ACID SOLUTION, with not less than 50%,
but not more than 80% acid, by mass",8,,II,"P5, A3, A7,
A10",A12.2.,
,UN2790,"ACETIC ACID SOLUTION, with more than10%, but
less than 50% acid, by mass",8,,III,P5,A12.2.,
,UN1715,ACETIC ANHYDRIDE,8,3,II,"P5, A3, A7, A10",A12.2.,
,,"Acetic oxide, see ACETIC ANHYDRIDE",,,,,,
,,"Acetoin, see ACETYL METHYL CARBINOL",,,,,,
,UN1090,ACETONE,3,,II,P5,A7.2.,
,UN1541,"ACETONE CYANOHYDRIN, STABILIZED",6.1,,I,"P2, 2, N34",A10.6.,
,UN1091,ACETONE OILS,3,,II,P5,A7.2.,
,UN1648,ACETONITRILE,3,,II,P5,A7.2.,
,,"Acetyl acetone peroxide with more than 9% by mass
active oxygen",,,,,FORBIDDEN,
,,"Acetyl benzoyl peroxide, solid, or with more than 40% in solution",,,,,FORBIDDEN,
,UN1716,ACETYL BROMIDE,8,,II,P5,A12.2.,
,UN1717,ACETYL CHLORIDE,3,8,II,"P5, A3, A7,
N34",A7.2.,
,,"Acetyl cyclohexanesulphonyl peroxide,with more than 82% wetted with less than 12% water",,,,,FORBIDDEN,
,,"Acetylene dichloride, see  1,2-
DICHLOROETHYLENE",,,,,,
,UN1001,"ACETYLENE, DISSOLVED",2.1,,,"P4 , N86, N88",A6.9.,
,,Acetylene (liquefied),,,,,FORBIDDEN,
,,Acetylene silver nitrate,,,,,FORBIDDEN,
,,"Acetylene, solvent free",,,,,FORBIDDEN,
,,"Acetylene tetrabromide, see
TETRABROMOETHANE",,,,,,
,,"Acetylene tetrachloride; see
TETRACHLOROETHANE",,,,,,
,UN1898,ACETYL IODIDE,8,,II,P5,A12.2.,
,UN2621,ACETYL METHYL CARBINOL,3,,III,P5,A7.2.,
,,"Acetyl oxide, see ACETIC ANHYDRIDE",,,,,,
,,"Acetyl peroxide, solid or with more than 25% in solution",,,,,FORBIDDEN,
,,"Acid butyl phosphate, see BUTYL ACID
PHOSPHATE",,,,,,
,,"Acid, liquid, N.O.S., see CORROSIVE LIQUID, ACIDIC, INORGANIC, N.O.S.., or CORROSIVE LIQUID,
ACIDIC, ORGANIC, N.O.S.",,,,,,
,,"Acid mixture, hydrofluoric and sulphuric, see HYDROFLUORIC AND SULPHURIC ACID MIXTURE",,,,,,
,,"Acid mixture, nitrating acid, see NITRATING ACID
MIXTURE",,,,,,
,,"Acid mixture, spent, nitrating acid, see NITRATING ACID, MIXTURE SPENT",,,,,,
,,"Acid, picric, see TRINITROPHENOL or PICRIC ACID",,,,,,
,,"Acid potassium sulphate, see POTASSIUM HYDROGEN SULPHATE",,,,,,
,,"Acid, sludge, see Sludge Acid",,,,,,
,,"Acraldehyde, stabilized, see ACROLEIN,
STABILIZED",,,,,,
,UN2713,ACRIDINE,6.1,,III,P5,A10.5.,
,UN2607,"ACROLEIN DIMER, STABILIZED",3,,III,P5,A7.2.,
,,"Acrolein dimer, unstabilized",,,,,FORBIDDEN,
,UN1092,"ACROLEIN, STABILIZED",6.1,3,I,"P1, 1",A10.6.,
,,"Acrolein, unstabilized",,,,,FORBIDDEN,
,UN2074,"ACRYLAMIDE, SOLID",6.1,,III,P5,A10.5.,
,UN3426,ACRYLAMIDE SOLUTION,6.1,,III,P5,A10.4,
,UN2218,"ACRYLIC ACID, STABILIZED",8,3,II,P5,A12.2.,
,,"Acrylic acid, unstabilized",,,,,FORBIDDEN,
,UN1093,"ACRYLONITRILE, STABILIZED",3,6.1,I,P3,A7.2.,
,,"Acrylonitrile, unstabilized",,,,,FORBIDDEN,
,,"Actinolite, see WHITE ASBESTOS",,,,,,
,,"Activated carbon or Activated charcoal, see CARBON,
ACTIVATED",,,,,,
,,"Actuating cartridge, explosive, see CARTRIDGES, POWER DEVICE, etc.",,,,,,
,UN1133,"ADHESIVES, containing flammable liquid",3,,"I
II III","P3
P5 P5","A7.2.
A7.2.
A7.2.",
,UN2205,ADIPONITRILE,6.1,,III,P5,A10.4.,
*,UN 3511,ADSORBED GAS N.O.S.,2.2,,,P5,A6.27,
*,UN 3510,"ADSORBED GAS, FLAMMABLE N.O.S.",2.1,,,P4,A6.27,
,,,,,,,,
*,UN 3513,"ADSORBED GAS, OXIDIZING N.O.S.",2.2,5.1,,P4,A6.27,
*,UN 3516,"ADSORBED GAS, TOXIC CORROSIVE N.O.S.
Inhalation Hazard Zone A",2.3,8,,"P1, 1",A6.15,
*,UN 3516,"ADSORBED GAS, TOXIC CORROSIVE N.O.S.
Inhalation Hazard Zone B",2.3,8,,"P2, 2",A6.27,
*,UN 3516,"ADSORBED GAS, TOXIC CORROSIVE N.O.S.
Inhalation Hazard Zone C",2.3,8,,"P2, 3",A6.27,
*,UN 3516,"ADSORBED GAS, TOXIC CORROSIVE N.O.S.
Inhalation Hazard Zone D",2.3,8,,"P2, 4",A6.27,
*,UN 3514,"ADSORBED GAS, TOXIC FLAMMABLE N.O.S.
Inhalation Hazard Zone A",2.3,2.1,,"P1, 1",A6.15,
*,UN 3514,"ADSORBED GAS, TOXIC FLAMMABLE N.O.S.
Inhalation Hazard Zone B",2.3,2.1,,"P2, 2",A6.27,
*,UN 3514,"ADSORBED GAS, TOXIC FLAMMABLE N.O.S.
Inhalation Hazard Zone C",2.3,2.1,,"P2, 3",A6.27,
*,UN 3514,"ADSORBED GAS, TOXIC FLAMMABLE N.O.S.
Inhalation Hazard Zone D",2.3,2.1,,"P2, 4",A6.27,
*,UN 3517,"ADSORBED GAS, TOXIC FLAMMABLE,
CORROSIVE N.O.S. Inhalation Hazard Zone A",2.3,"2.1, 8",,"P1, 1",A6.15,
*,UN 3517,"ADSORBED GAS, TOXIC FLAMMABLE,
CORROSIVE N.O.S. Inhalation Hazard Zone B",2.3,"2.1, 8",,"P2, 2",A6.27,
*,UN 3517,"ADSORBED GAS, TOXIC FLAMMABLE,
CORROSIVE N.O.S. Inhalation Hazard Zone C",2.3,"2.1, 8",,"P2, 3",A6.27,
*,UN 3517,"ADSORBED GAS, TOXIC FLAMMABLE,
CORROSIVE N.O.S. Inhalation Hazard Zone D",2.3,"2.1, 8",,"P2, 4",A6.27,
*,UN 3515,"ADSORBED GAS, TOXIC FLAMMABLE,
OXIDIZING N.O.S. Inhalation Hazard Zone A",2.3,"2.1, 5.1",,"P1, 1",A6.15,
*,UN 3515,"ADSORBED GAS, TOXIC FLAMMABLE,
OXIDIZING N.O.S. Inhalation Hazard Zone B",2.3,"2.1, 5.1",,"P2, 2",A6.27,
*,UN 3515,"ADSORBED GAS, TOXIC FLAMMABLE,
OXIDIZING N.O.S. Inhalation Hazard Zone C",2.3,"2.1, 5.1",,"P2, 3",A6.27,
*,UN 3515,"ADSORBED GAS, TOXIC FLAMMABLE,
OXIDIZING N.O.S. Inhalation Hazard Zone D",2.3,"2.1, 5.1",,"P2, 4",A6.27,
*,UN 3512,"ADSORBED GAS, TOXIC N.O.S. Inhalation Hazard
Zone A",2.3,,,"P1, 1",A6.15,
*,UN 3512,"ADSORBED GAS, TOXIC N.O.S. Inhalation Hazard
Zone B",2.3,,,"P2, 2",A6.27,
*,UN 3518,"ADSORBED GAS, TOXIC, OXIDIZING,
CORROSIVE N.O.S. Inhalation Hazard Zone A",2.3,"5.1, 8",,"P1, 1",A6.15,
*,UN 3518,"ADSORBED GAS, TOXIC, OXIDIZING,
CORROSIVE N.O.S. Inhalation Hazard Zone B",2.3,"5.1, 8",,"P2, 2",A6.27,
*,UN 3518,"ADSORBED GAS, TOXIC, OXIDIZING,
CORROSIVE N.O.S. Inhalation Hazard Zone C",2.3,"5.1, 8",,"P2, 3",A6.27,
